content	label
يالغالي، الطريقة الأفضل هي الرجوع لدليل المالك الخاص بسيارتك لمعرفة درجة اللزوجة المناسبة، نسعد بتواصلك.	Hijazi
تصدقين اني يوم دخلته تمنيت انهم ماقبلوني ولاتعذبت هالعذاب	Other
اقول كلي تبن واحترمي نفسك	Hijazi
والله خلصت الفصل الثاني يابنت	Other
الله يعظم اجوركم ويرحمه برحمته ويغفر له	Other
ونعم بكم يبو احمد #بيت ولاء ودين	Other
شكرا على ما قدمت	Hijazi
آلحمد للہ آلذيَ لايصرّف عنّا شيئاً إلا لِحكمہ، ثمّ يُعوضنآ بـ الآجمّل . http://d3waapp.org/	Other
وَمَا تُقَدِّمُوا لِأَنفُسِكُم مِّنْ خَيْرٍ تَجِدُوهُ عِندَ اللَّهِ هُوَ خَيْرًا وَأَعْظَمَ أَجْرًا ۚpic.twitter.com/mWbzyjslAN	Other
نفس المشكلة حصلت معي وغيرتها ب١٢٠	Other
احط فوق رجلي واهزه لين يدوخ وينام	Other
اسمع صراخ بنات المدرسه وانا بالبيت.	Hijazi
مهما تعددت الآمنيات فَلا آمنيـھ تساويَ قربك ليَ ...!	Other
كأنه من جد بيموت عليها	Other
@LiveHD7 حسب هذي الزاوية حتى رأس المدافع دخلته في المرمى	Other
طالما المدخن يدفع ضريبة 100٪ ، من حقه الحصول على سلعه بها المعلومات الاساسية ومن أهمها بلد الانتاج . الموجود حاليا رديء وربما يعبأ في بلد عربي ، ان كان ولا بد عدلوا سعره بما يتوافق مع بلد تعبئته الحالية . @SaudiMOH @SaudiMCI @cpaksa #الدخان_الجديد	Hijazi
مكتوب عند التوقع حرف ع يعني عنه يعني نائب الرئيس او امين النادي وقع عن الرئيس اجراء جدا رسمي	Hijazi
لاتصدقوا حجج الغياب ، فالشمس تغيب لتشرق في مكان آخر .'	Other
ماشاءالله العظيم نومي ماخرب الا لمن قربت الجامعه	Other
•- ❃.،❥ • • • • مانترك الطيًب ولا نقبل العار من خلقة الدنيا وحنا لها ( روس… https://www.instagram.com/p/-3yE9JrBmL/	Other
أعوذ بالله مّن غياب أمي وأنا على قيد الحياة .	Other
السعاده يمكن تجي بدون فعل شئ اللذه لا مقرونه بفعل مثال للسعاده قدوم شخص عزيز عليك للزياره ام مثال للذه اكل التفاحه انت تتلذذ في اكلها #تفكر	Other
@h_alkanfari صحح معلومتك قبل النشر .. والقصيده ماهيب موجهه لـ شالح .. وبختصرها لك هذي موجهه ل اخوياء ابن لمدان معه فالربع الخالي	Other
أخيرا حصلت وقت اتابع فيه حلقة الأشكيا #EDHO	Hijazi
#كيف_يسوي_لك_المشهور_ريتويت بسيطه امدحه ولا حط صورتك وانت بجنبه تراهم يحبون التميلح	Other
مركز 24 للتدريب | هدفنا واحد ورؤيتنا واحدة #الرياض #دورات_تدريبية pic.twitter.com/RhqJlwIhZt ( تدريب - شهادة معتمدة - دورات - قانون - تطوير الذات - دورات الرياض - دورات تدريبية - الرياض )'	Other
استغفر الله الذي لا اله الا هو الحي القيوم واتوب اليه http://Gharedly.com	Other
لعل الله أبكاني يومًا ليفرحني دهرًا.	Other
#شيلات اخوانا المصريين دخلوا معانا في الخطpic.twitter.com/N07ysMR0Vw	Other
طيب راعي الشاص وش عاد سو فيه	Other
اسأل الله أن يرفع عنه ضره وأن يلبسه لباس الصحة والعافية لا بأس طهور إن شاء الله	Hijazi
 نحن بحاجة للخلافات أحيانا حتى نعرف ما يُخفيه الآخرون في قلوبهم تجاهنا .. قد نجد ما يُذهلنا ويصدمنا وقد نجد ما ننحني له إحتراما' شكسبير	Other
@amansouraja والتاريخ يثبت كﻻمك استاذ كل دكتاتوري مصيره الموت	Other
وأنا لمّا أغار عليك : تمُوت فيني ألف فرحه .. يرضِيك ؟.pic.twitter.com/ng5AynhTl1	Other
خلك قوي لا تكسرك جور الأيام منصاك ربك لا نصتك الشدايد ..	Other
مو عدل لباقي المتسابقين لذلك لن اصوّت	Hijazi
هذا اسمي ماتغير	Other
اعد نشر مكان التصويت لم اجه بحثت كثير لم اجد التصويت	Hijazi
الله يشفيك يابو محيريق	Other
لاتستعجل على ايامك الملكي يمرض واذا قام يعيد مجده بلحظة لاكن اثناء مرضه تكثر الصراصير والطواقي	Other
يستاهل أبو عدنان وهذي اقل عطاياك يابو سليمان	Other
شلونك؟ طيب انت شلونك؟ الحمدلله شخبارك؟ بخير وانت؟ الحمدلله اي وبعد شلونك وشلون الاهل؟ والله بخير انتو شلونكم؟ https://twitter.com/iMahbuob/status/942082158260375552/photo/1pic.twitter.com/NTSJ7Zc3E3	Other
تغيرت الرابطة من قبل مباراة الخرش تعال بس احضر الوجهه كله لنا يمين الواجهه مابه رابطة	Other
شخصية الفريق تفرض نفسها يا قلبي يا كونتي #فورزا_انتر	Other
@Bader_ALbalawi_ حساب المتحدث الرسمي في وزارة التربية والتعليم بعد انظمامه إلى توتير أ/ محمد الدخيني رتويت لتعم الفائدة @mdukhainy	Other
عُمر الشخص ماينحبَ مرتين ، هي مره ياتستمر لنهاية العُمر او يتوقف حُبه عند خيبة امل...	Other
ياحظييي بس اه	Other
كل شخص تقابله يملك شيئًا مميزًا، حاول تعلمه واكتسابه!'	Other
يا مساء الراحة أسبوعٌ مثقل!	Hijazi
الفيصلي جالس يعطي الاتحاد والمدرب درس في فن قراية الخصم والتكتكه	Other
بسم الله عليك استودعتك الله ياحبيب خالتك	Other
ما تلاحظون اخر مباريات كلها صعبه مهما كان الفريق الي تلعب معه رغم انها بمتناول اليد	Other
أخبروا البعيدة أنها برغم كل المسافات والمرارات والأغاني وبرغم أنف الغياب الطويل! أنها للأبد..قريبه قريبه قريبه	Other
﴿ فاستجابَ لهُ ربُّهُ ﴾ اللهم هذا الشعور.	Other
و خآلق سمآنآ بتبقى آجمل من آشوف..	Other
أكره شعور تأنيب الضمير اللي يجيني بعد ما أعصب على احد :(	Hijazi
@iAnas5 @M_0g هههههههههه حتى انا شايفه و مصلي فينا	Other
ما أجمل أن نشارك في خدمة ضيوف الرحمن.pic.twitter.com/OCofdu0lr7	Other
Never give up , Great things take time لا تَستَسلم ، الأشياء العَظيمة تَستغرق وَقتاً طويلاً	Other
@sa8381 تسلم يا رحال نورتنا بوجودك	Other
@7USS3IN_ ان شاء الله جاي عندكم	Other
ومازلت كالمغفلة انتظر قدوم رسالة منك ، مازلت في كل مساء ابكي وانا اتذكرك متألمه هذا المساء بشدة هل حققت لي امنيتي واتيت بابا	Other
ياملِيح المبسم صبّحت بالخيرّ.	Hijazi
آآآخ على أيام ملعب عبدالله الفيصل	Hijazi
وش الحيله في قلب محبتك تمليه؟	Other
اقبح عقل يمر عليا كيف يفكر ذا؟؟ الانسان مايؤمن بانسان مثله مايتغير بيوم وليله ماشاءالله ع العقل المعتوه https://twitter.com/MeshariGhamdi/status/1144397641691934720 …	Other
سبحان الله وبحمده عدد خلقه ورضى نفسه وزنة عرشه ومداد كلماته	Other
الله لايوفقكم متتتتhttps://twitter.com/jodel_sa/status/1133561551116558336 …	Other
في خاطريه حجي بس اخاف انام بالمركز الليله	Other
#وظيفه_ترغب_بتجربتها مصوره على مستوى عالي :) :$	Other
#وقت_اللياقة اليوم الجبال وصلت القمه في ربع ساعه وحاط رجل على رجل وهذي ديرتي تحت #هداده#نجران https://instagram.com/p/8dZd6SLBu_/	Other
الذكر من أفضل الأعمال وأفضله قراءة القرآن ثم ما شرعه الله لعباده من التسبيح والتحميد والتهليل والتكبير وقول لاحول ولاقوة إلابالله والدعاء من الذكر.	Other
هل تريد ان تحط خطاياك وان كانت مثل زبد البحر ؟ فقل سبحان الله وبحمده 100مرة http://du3a.org	Other
يارب مع بُرودة جوك بردّ على قبور الراحِلين يالله	Other
سلم امرك لله وأبداً يومك بشرب قهوتك وتفاؤلك	Hijazi
انقطعت حبال أفكاري :( وش السوات الحين	Other
(إنما توعدون لواقع) [المرسلات:7]	Other
تغار من إيه ياشماتت أبله ظاظا فيك	Hijazi
تمر بك أيام تشعر فيها بان كل شيء يثقل على صدرك الذين يحبونك والذين يكرهونك والذين يعرفونك والذين لا يعرفونك تشعر بالحاجة إلى أن تكون وحيداً	Other
اللهم إني أسألك علماً نافعاً، ورزقاً طيباً، وعملاً متقبلاً.. http://knz.so	Other
مايشهد عليك ظالم رهوفه صح بدنك وتسلمين من كل شر يارب	Other
للأبد أكره شعور اللي أحس أني نشبه ل أحد أحبه *	Hijazi
هذا قبل شهر تقريباً في تهامة عسيرpic.twitter.com/Rbxoejwkgy	Other
الف مبروكك التأهل ي ملوكك '	Other
ولسه في قلبي كلام ...	Other
ياشينها لا عافت النفس من شي ماتكره النفس لو كان غاااااالي	Hijazi
جمالك بس لو اعرف مين؟https://twitter.com/iop90iop/status/740677523399282688 …	Other
اسال الله ان يمتعه بالصحه و العافيه وان يرزقه حسن الخاتمه	Other
يازين لهجتهم والله	Other
إن لله ما أخذ وله ما أعطى وكل شيء عنده بأجل http://tweet4allah.com/	Other
{فأما اليتيم فلا تقهر} [الضحى:9] http://quran.ksu.edu.sa/index.php?aya=93_9 …	Other
من تعنى لوصلك ! ﻻ ترده كسير .	Other
 يَا رِضَى هاللّيل لوْ صُوتك يزور '.!	Other
اللهم إني أحمدك على نعمة الإيمان بك و شرف الإسلام لك http://Gharedly.com	Hijazi
ماشاءالله لا حول ولا قوة الا بالله العلي العظيم ايييي ددددده	Other
اللهم اجعل قرة عيني في الصلاة	Other
“@Duaa_Ob: : كلنا عندنا ذاك الصديق إلي ماندري كيف تعرفنا عليه =))'”	Other
اجمل المناظر. الله اكبر الله اكبر الله اكبر لا اله الا الله الله اكبر الله اكبر ولله الحمد	Other
** الحياة لا تخلُو من الخطأ، فلا تجعل الخطأ مُصيبة، صححه بعدم الوقوع فيه، فما خُلقنا مُتعلمين، ومن لا يخطئ لا يتعلم . صباح الخير ♡	Hijazi
حسبي الله لا إله إلا هو عليه توكلت وهو ربُّ العرش العظيم x 7 http://knzmuslim.com	Other
اختلف معك استاذي ، قائلها له ظروفة وعاشه معهم حينما قالها، لذا لا نعيش ظروف غيرنا ونقتبسها فهي كلاشيهات سلبيه في نظري .،	Other
لو قيل لي أختر صفة ؛ من البشر وستزول عن بكرة أبيها ، لاخترت [ الحماقة ] وبلا تردد ، لإنها لو زالت زالت معها مشاكل الدنيا ! ،”	Other
تتحكم الظروف في الرجال، ولا يتحكم الرجال في الظروف. - هيرودوت	Other
مركزه لو تبيه يصلح لكم قهوة كل شي ماشي	Other
قالها عبدالمجيد: لا تجبر الناس على وصالك من بغاك تعنالك'.	Other
{أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب أفلا تعقلون} [البقرة:44] http://quran.ksu.edu.sa/index.php?aya=2_44 …	Other
أحط نفسك بأشخاص سعداء وإيجابيين ممن يشاركونك قيمك وأهدافك، فالأشخاص الذين يمتلكون المبادئ ذاتها سيشجعونك على تحقيق أهدافك	Other
ترقبوا.. معنا غداً سؤال الأسبوع الرابع والأخير من #المسابقة_الرمضانية #رمضان_كريمpic.twitter.com/oxdgZDYWNU	Hijazi
@SaudiAndroid سؤال مهم احتاج اجابة هل ممكن احد يخترق الايفون ويرسل لرقم غريب حصلت لي	Other
مبروك دفاعك عن النصر خلاااك تطلع بصندقه الخشبيه استمر وكثر سب الهلال راح تستلم منصب في الاتحاد السعودي	Other
شكرا خاص لمعالي المستشار @Turki_alalshikh على دعمه للشباب وانا مثال بسيط على هالدعم . وشكرا للاستاذ @makharesh على وقفته معاي دايما وحرصه . وشكراً للتنظيم الرائع جداً واهتمامهم فيني وبكل التفاصيل @Benchmark_ksa . والشكر الاكبر لكم انتم لحضوركم ( حفلة ماراح انساها )	Other
كيف كذا تفقد عذريتها اذا كشفت وكذا ؟اول مره اعرف ؟؟؟؟؟؟؟؟؟؟؟؟	Other
سَ أتذكر انك أسعدتني يومًا لست بِ ذلك السُوء لأنسى كل شيء	Hijazi
ياصاحب اللُطف الخفي، نجنا مِما نخافُه..	Other
اسعد شخص بالعالم الان اللي حاط فاردي اساسي وكابتن في لعبة الفانتسي	Hijazi
من أجمل من الفوز الا طقطقة وليد الفراج أعطى جو غير عادي قبل وبعد المباراة #الرائد #ديربي_البرتقالةpic.twitter.com/8mtpLE5Dr6	Other
لك الحمد على ماقضيت ولك الشكر على ما أعطيت نستغفرك اللهم ونتوب إليك.	Other
يعجز الكلام عن الكلام https://twitter.com/noura_mohammad9/status/1190323574185304066 …	Other
والله تركي آل الشيخ عرفت تختار الشخص اللي ينفذ المطلوب منه وبدون تردد بتحطيم الهلال	Other
@albakertv شي كبير يا عمري شي كبير ... لعل ينصلح حال بيئة ملاعبنا ...' وماظنتي ياحليس تاكل بطاطا'..«»	Other
انا اعرفه صديقي عليك بهذا اختفي @Dawood77s	Other
I liked a @YouTube video from @iidestroyer http://youtu.be/MJcaimXxBEo?a تجميعة للمونتاج والألعاب | Editing/Gaming PC	Other
خليفة نيستا طرد	Other
{أفلا يتدبرون القرآن أم على قلوب أقفالها} [محمد:24] http://quran.ksu.edu.sa/index.php?aya=47_24 …	Other
لا تؤلم نفسك بكثرة التفكير، لماذا قالوا ! لماذا فعلوا ! ثق بربك ثم بنفسك طالما هم بشر فليس لديهم رزقك المتأخر قد يكون أفضل بكثير من ارزاقهم المتقدمة فلا تيأس انتظر من الله كل ما هو جميل وتفائل.	Other
#الهلال النادي اللي مايعزك بذكراه مثل الزعيم اللي يحوز البطولات عساه يدوي ثم يدوي بمسراه منتب على دربه محصل مطولات	Other
خوفك الزائد على الأشياء ان تنكسر... قد يكسرك انت و يُبقيها..	Other
اخليه يكرهني اكثر والله	Other
صح بدنك شهاده من غالي شاكر مرورك الكريم	Other
ندري إنه 'من بادي الوقت وهذا طبع الأيام' بس احنا إللي ما نتوب .. آه من قلب عيا ينتصح	Other
المشكله لا طاح لاطاح لاطاح من عينك انسان ماقد ملا عينك من الناس غيره !!pic.twitter.com/lgGG5P6ciV	Other
المفروض اللي نحبهم يرسلون صورهم كل صباح ، من باب صباح الخير يعني ..	Hijazi
قوليه له من الجهراء	Other
فيني حكي جدًا حزين عيت حروفي تذرفه.. مدري حكي ولا حنين حتى الشعر مايعرفه!	Other
#شكرا_علي_زعلة شخصية لن تتكرر لمحافظة #صبيا جعل الله التوفيق حليفك أينما كنت أبا محمد pic.twitter.com/sRvRD85ZDJ	Other
رسالة لـ فقيدتي ؛لازلتُ أتمنى أن رحيلك مجرد حلم.	Other
حلو عليييك الطويل	Other
لا تيأس من حياة أبكت قلبك وقل يالله : عوضني خيراً في الدنيا وفي الآخره ، الحزن يرحل بسجدة والفرحة تأتي بدعوه.	Other
فهد بن خالد سكت جمهورك #كاس_العالم_حيوحشنا_٣pic.twitter.com/XFU9wbw5XG	Other
@noha2951 اختي يعني كل الجامعات لازم تجيك رساله انا سجلت بفيصل والدمام بس م جاتني؟	Other
ماهم مفصخين هاذا لبس	Other
اللهم إشف مرضانا ومرضى المسلمين وارحم موتانا وموتى المسلمين http://du3a.org	Other
أُبارك لزميلي الأستاذ عبدالله الصيعري حصوله على درجة الماجستير من جامعة تبوك http://www.tabuknews.net/news-action-show-id-6540.htm … @abunadeeenpic.twitter.com/t3ILFjuVVR	Other
حسبي أنك ربي ولا يخفى عليك ما في قلبي، فاللهم طمأنينة منك وغنى بك.'	Other
مهلاً !! يبْدو أنّ الحيَاة لمْ تتَوقف لأَجلِ أحدْ !!	Other
انا اسف والله انت عمي وعم جماهير الاتحاد https://twitter.com/iY2sir_/status/1174017768238321664 …	Other
كل هذا حقد وكراهية من أقطار الارض على مملكتنا وعلماء المسلمين. حسبنا الله ونعم الوكيل	Hijazi
pic.twitter.com/OBnn5bXHME مثل م تطالبون اللاعبين بالصداره ، هم يطالبونكم بالحضور ، - الله الله- اسمع الطرب	Other
الله يوفقك يارب ابو علي ويسهلك	Other
المشكله شكلها فيا وفيكي لما قدمنا ع الابتعاث صار نفس الشي	Other
بالله كل تبن	Hijazi
عياااار الله يصيب شيطانك	Other
تبقى الحياة بخير حينما تدرك ان هناك أشخاص يدعون لك بالسعادة الدائمة .. لاتنسونا من صالح دعائكم #ساعه_استجابه	Other
@Nefaie_Majed الحق على المدافع الاسباني وافسخ عقده فتيل احسن منه بمراحل	Hijazi
تعبير ولدي عن حزنه على ضياع ايباده pic.twitter.com/fyW35iE091	Other
إذا أردت فتاة بطهارة مريم ، فصن نفسك عن الهوى مثل يوسف ..'	Other
بارك الله فيكم نفخر بكم وبعملكم	Other
لسى حرة الطرد ماراحت من قلبه الحقود	Other
نستودعك اللهم مكة والمدينةومنى وعرفة نستودعك اللهم حجاج بيتك الحرام نستودعك اللهم أرض المملكةالعربيةالسعودية مليكاً وأرضاً وشعبا يتبع	Other
ألسلام عليكم علشان م تقولون زوودن على شينـه شايفتن نفسه	Other
دعوة عامة | على شرف سعادة محافظ محافظة صبيا الأستاذ / منصور بن زيد الداوود. يسر إدارة #تعليم_صبيا ممثلة في قسم ( القيادة المدرسية ) دعوتكم لحضور الملتقى الرابع تحت شعار ( انضباط - وتحصيل - وإنجاز ) يومي الأربعاء والخميس *١٠ - ١١ / ٥ / ١٤٤٠هـ* على مسرح الإدارةpic.twitter.com/TnsWoOu7GL	Other
شكراً على الصراحة.. ما اعرف اذا كانت صدق او مزحة لكن انا واثقة ومقتنعة باللي اسويه الحمدلله pic.twitter.com/HITgjsNTCN	Other
@Mashael_Y والله احنا كمان مشتاقين لكم مررره :')	Other
ااااا .. ترا اول مره احذف و الحذف ما صار الا بعد تفكير و استشارات ذاتيه كثير .. فـ نعم ما نوصل للطق و الهواش	Other
ياليت لو فيني أوصّي الدنيا عليك.	Other
سبوح قدوس رب الملائكة والروح http://du3a.org	Other
والله ان هدم الكعبة حجرا حجرا لهو حلم المجوس والسؤال متى يفيق شيعة العرب والليبرالية من سكرتهم وضعوا أيديهم بأيدي المخلصين	Hijazi
الشُوق هِالليله لاعِن مِجاديفي وهازِمني.	Other
من أصحاب الرقص للتخلص من الضغوط	Other
هدا المستوي امام الرائد فكيف امام الهلال ممكن تكون تاريخية في الدورالسعودي انا اتوقع 10/ 0 للهلال هههههههه	Hijazi
حقاوصدقاوعدلاويقيناوايمانانشهدان لاالةالااللةوحدةاحدفردصمدلم يلدولم يولدولم يكن لةصاحبةاوولدولاشريك ولامثيل ولاندولاعوين ولاشبيةولاكفولةاحد وابد يحيي ويميت وهو حي لا يموت بيده الخير وهو على كل شيء قدير ونشهدان سيدنامحمد عبدةورسولةوان الجنةوالناروالبعث حق كلمةحق نحيابهاونموتامين	Other
امي تخاف عليّ من الحياه , وانا اخاف الحياة دون امي .	Other
غبي احمد معلم الصومالي اذا قلنا ٣٠ سنه بدون دوري زعل وهو يقول قبل ولادتكم #الاتحاد #النصر #الهلال #الاهليpic.twitter.com/0vno5ZnYuD	Other
.. حين تشعر ان المنافذ جميعها مغلقه سيصل اليك لطف الله من المنفذ المستحيل.	Other
أكبر الله أكبر الله أكبر.. لا إله إلا الله .. الله أكبر الله أكبر.. ولله الحمد.. اللهم صلّ وسلّم على خير خلقك وآله وصحبه.. عدد خلقك ورضا نفسك وزنة عرشك ومداد كلماتك.. اللهم أعتق رقابنا ورقاب والدينا وجميع المسلمين من النار.. ياعزيز ياغفار. #غرد_بالصلاه_عليه_لاجل_شفاعته	Hijazi
قال رسول الله صلى الله عليه وسلم : «الخالة بمنزلة الأم» #نشر_سيرته #ﷺ	Hijazi
يابنت ارحميني لا تفكرين	Other
الله يكتب لي مع عيونك لقى.	Other
متشوقين لاعمالك يا وحشpic.twitter.com/d8PjkNJegO	Other
ابي شيء يرضيني ما منكم فايدة واسوني عالاقل	Other
ارجوك يا تخلي حفل خاص للكوريين او لا تجيب كوريين نهائياً دام الوضع تحرش خلينا اقل شي نروح مبسوطين ومأمنين نفسنا @Turki_alalshikh	Other
كمية الضيقه الي فيني الحين ماتنوصف	Other
شوف لك يوم نطلع	Hijazi
الاخوان يا صديقي في الاردن والكويت وغيرها يتبعون حزب رسمي ولهم مقرات ونشاطات علنية ولهم قيادات مؤثرة في الوسط السياسي. شكلك تحسبهم اشباح	Hijazi
التغريدات القادمة ستكون - بإذن الله - في المسائل المجمع عليها في كتاب الحج أو المتفق عليها بين المذاهب الفقهية الأربعة #الحج #ريتويت #درر	Other
@AbdulazizTF (3) نحن لانطالب الا بالعدل والمساواة بين الانديه في كل شي في دعم وفي عقوبات وفي قرارات لسنا نطالب بمعجزه بل نطالب بحق مشروع لكل الاندية لانريد تفضيل نادي عن اخر @SSuwailm @Turki_alalshikh @saudiFF	Other
ياليت أوزيل يطلب إنتقال متفائل في نادي تركي ياخذه ويفكنا منه	Other
أكره أحد يسألني ليه منفسه !؟ كذا ازيد تنفيس ياخي خلوني انفس طبيعي والله الواحد يمر بهالحركات.	Other
صعوبات الحياه المتكرره ماتبيك تحزن تبيك تتغير	Other
@mHo_FuTz @MajidXc4 انا اعطيك من اي لفل تبي	Other
گورنمنٹ کچرا مال نہیں لیتی	Other
اللهم صلِ وسلم على نبينا	Hijazi
ياالله مافيك من الكذوب مابعد جيت بعلم صدق	Other
سبحان الله والحمد لله ولا اله الا الله والله أكبر. .	Other
اممم اصغر مب باين ههههههههههههههههههههههههههههههههههههههههههههههههه	Other
غثيث وساذج وموضوعه مثل وجهه	Other
#احب_شخص_لقلبك أمي أماً رائعه في قلبها حنية العالم بأكمله ذات يوم انهكها الالم فأراد ربها لها الراحه والرحمه فذهبت روحها لخالقها ولم ترحل من ذاكرة زوجها وفلذات اكبادهـا الله يغفرلك ويرحمك ي جنتي	Hijazi
... وأحيانًا نقول لغيرنا كلامًا نحتاج سماعه، ونفعل لهم أشياء نحن في أشد الحاجة إليها' #صباح_الخير مثال.	Other
جمهور الاتحاد مطنوووووخخ من قوه الطناخه طلع هاشتاق #نبيها_فل_في_ودية_اتليتكو	Hijazi
صراحة مطالبة الطلاب بالعفو لانه ساعد الطلاب في درجاتهم وهذا غش واضح محض وتعدي على نظام الجامعة ـ ليس كل من يتفنن نحتويه فهناك من يتفنن لسرقة البنوك وامور غير شرعية ـ فالحلال بين والحرام بين	Other
بصمة الإصبع بنفس الشاشة	Hijazi
مع البيض وجبنه كرفت ألذ	Other
إن الصدق من أبرز مكارم الأخلاق ، والكذب من أبرز مساوئها، وقد كان هناك اهتمام كبير من رسول الله صلى الله عليه وسلم في الترغيب في الصدق والتحذير من الكذب . وقد ذكر النبي صلى الله عليه وسلم أن الكذب لايتفق مع الإيمان , وذلك فيما أخرجه الإمام مالكpic.twitter.com/4LA5ldsTF1	Other
أن لا نظمأ لمكانٍ ليس بمكاننا يارب، ولا نصيبًا ليس من حقنا، و لا لأرضٍ ليست بأرضنا، وأن لا يكون إرتوائنا بأملٍ لسنا ببالغيه	Other
عندما ينبع الحب من القلب عذبا زلالا ! لاتعكره الظروف ولا تلوثه الشكوك .	Other
انا اقول من اصحاب وايله	Other
مبسوط منك من سارق قلبببي	Hijazi
عام ينتهى بحلوه ومره .. الحمدالله على كل لحظه حلوه عشتها،وعلى كل لحظة استصعبت مرورها ومرت الحمدالله على كل شعور عام حسيت فيه بكل المشاعر ، الله يرحم من فقدناه ويديم لنا اهلنا واحبابنا لاعوام مديدة ..	Other
أتمنى أن يرتاح عقلي من كل الأفكار السيئة والمعقدة التي أُجبرت على أن أتعايش معها، أتمنى أن ينشرح صدري من كل الضيق الذي بداخله، أتمنى ألا يظهر تعبي وإرهاقي على ملامح وجهي، أو يظل التعب تحت عينيّ، أتمنى أن أنام الليل دون أخْذ وقت طويل في التفكير .	Other
والله طلعت مز حياة الفهد في شبابها	Other
