content	label
" USER وانت من آهله ومبرووك الدوري ابوفيصل \""	Other
ارحب يالامير بعض مالديكم ربي يسعدك	Other
الله يسلمك وياك يارب	Other
الله يبارك فيك سلوم	Hijazi
شكله عبدالعزيز العجيل	Other
الله ياخذك يابيب واضحه وصراحه اللقب لذولاك	Other
وزير الصحه يحضر حفل تخرج الالاف الاطباء والصيادله والاخصائين الصحيين ويقول ثروة الوطن ولكن مادرى انهم بينضمون لاخوتهم العاطلين	Other
اذكر مقطع الجمال في المطر قبل فترة وكيف اثر في الناس كلها هنا وحتى الغرب شفت كم برنامج يتكلم عن المقطع بكل دهشة وجمال، ومن جانب ثاني اشوف أفلامنا وبكل صراحة تخاطب الغرب للأسف وهذه هي المشكلة لأن لو حاولو مليون مرة لن يصلوا لهم وبالتأكيد لن يصلوا لنا.	Hijazi
وين شرق والأسعار اذا ممكن	Hijazi
#Ramon_Díaz_vamos_te_amamos انتا معلوم كويس انتا كويس	Other
لاتنشد عن الحال عقب ماقفلوا الدفعه الثالثه	Other
انا ليش للحين صاحي؟	Other
بعذرك ع الرد البارد،واعذرني اذا تغيرت..	Other
USER صح السانك يامبدع	Other
اسعد الله أوقاتكم الي يبي رتويت يرسل تغريداته للحساب وانشالله نستفيد ومفيدكم	Other
جعل ماقدم في ميزان حسناته ويستاهل الخير ابو محمد	Other
صحيح عوض لاعب مهم ، لاكن النصر عمره م يوقف على اي لاعب مهما كان أسمه . النصر اولا واخيرا والنصر دائما وابدا #عوض_خميس_هلالي	Other
الدون سبب الخساره ي نواف ولا كيف!!	Other
احبك ايه احبك بالعزّ الشريف قريب ولا بعيد على عهدي احبك	Other
صادقه والمفروض للزوجد حدود عن الرجاجيل الكفو	Other
USER احب الخصوصية ، لكن للاسف كل اخوياي يعرفون الرقم السري يعني بس منظر جمالي لا أكثر	Other
هههه جيت براجع اكتشفت اني قاعده اذاكر من جديد	Other
لو ابي غيرك ترى حولي كثير بس قلبي ما يفز لكل عابر!	Other
USER عندك علم من ذَا في الحصين URL	Other
الله يسعدك قد ماضحكتني	Other
ﺎلحيااةة ‏ﺎلتي ‏ﺎعيشها ف مخي م يعيشهاا رئيس دولهہ ̶̶̶	Other
اجل ادعي لي	Other
عاد مشكلتك احذفي التغريدة	Other
وين العمليه الفدائيه الله يهديك راحو للموت بكل برود	Hijazi
فيه اشياء لو يحسنها كمارا بيكون واحد من اخطر الاعبين السنوات القادمه . هو يملك البنيه + السرعه . مشكلته تكمن في عقليته مايعرف متى يمرر وولا متى يشوت مايعرف وين يتمركز لاعب خطير بدون كوره خصوصاً فالضغط وسيئ بالكوره . الخلاصه كمارا قابل للتطور اذا اعطى الكوره حقها لانه صغير جداً URL	Other
انتو نسيتوني ولا ايه URL …	Other
ناقصين كلام حنا نبي فعل فعللل	Other
انا شفت نشره من الوزاره محددين سن معين وهو ٤٠ سنه مايعطون ايفاد للمعلمه ماادري صحيح او لا	Other
وليت الشعور اللي فيني يوصلك بدون كلام.	Other
يارب يموت يوم السبت	Other
USER الحمدلله ظهر العنصري من جد ، ولا لو بتعرف مين مصخرة فريقك والله :)	Hijazi
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه والله من كلمه مكطوف غسلت يدي	Other
الناس اللي ابتسامتهم تسبق سلامهم الله يجعلكم دايم بطريقي.	Other
نام الوجود من حواليا	Other
وانا كمان يارب	Other
ممكن تجيني خاص	Other
لأجل عينك تنعمي مليون عين انا فيني عن هوى غيرك عمى!	Other
لا مت حب قلبك هم تموت المشاعر ولا صحى قلبك. يفز لك قلبي من مكانه نفس الاحساس واللي يحسبها الشاعر حس الشياطين تركبه لو نواء يغيرمكانه URL	Hijazi
حلوه بس لا تعيديها	Other
USER ههههههففففف جو فكك	Other
رحت دي جي اصيل وأخذت ساعه ونص بالطريق وآخر شي طلع العدد مكتمل	Other
لازم يسوو وزارة للنضافة وينزلو قرار استخدام مزيل العرق اجباري	Hijazi
#من_نسق_سامي_الجابر_من_الهلال صدقه جاريه لأخي يوسف الشعفي اتمنى من كل شخص شاف الفديو هاذا يسوي اعاده التغريده URL	Other
أنا يادوب متحمله ثيابي حالياً	Other
لا تموت علينا انت ماعندك غير سالفة الدخان	Other
انا انسان عندي كرامہ اطلب الشيء مرة وحدة ما تعطيني اسرقہ ☻~o)'	Other
القلوب والاكباد قدني بقلب الزير الليله	Other
Hazard recognition &control أحسن شي تجي متأخر والترينر مابعد يجي تباً له (at Saudi Aramco) — URL	Other
طيب ايش دخل الوزارة هذي وفاه طبيعيه	Other
اتوقع راح تضيع	Other
دفعه نامت ودفعه صحت وانا مع الدفعتين مستلمه	Other
ماشاءالله عليك ينقط الذكاء منك	Other
USER @: صباح الاماني المشرقة صباح الأزهار المتفتحة صباح الطيور المغردة صباح رقص الاغصان صباح حب الاوطان احلى صباح لك انت وانت وبس	Other
#NAME?	Other
USER USER USER USER USER USER لا هنت ابو نواف	Other
ايه كثير قالولي نفس كلامك عشان كذا ماتحمست ، اففف عندي تقشف مسلسلات امريكيه	Other
أنا أحاول بهالمساء أكون أنسانة أفضل مما كنت عليه بالأمس واليوم ولنفسي مو لحد .	Other
ترى ودي اقضّي العمر يا عمري معاك	Other
قد تيا صباحي ومساي هههههههههههههههههههههههههههههههههههههههههه USER .twitter.com/LUeQ3HN314	Other
طيب كريس ٢٠١٣ ولا بطوله وحقق البالون دور	Other
الله يعطيك العافية	Hijazi
وافي وسعدني اتصالك ولله يسلمك من كل مكروه	Other
هاردلك كليبرز ، القادم أجمل	Other
يفوزون بأخس فعالية باليوم الوطني اللي مسوين تحدي النشيد الوطني	Other
الله لا يهينك يابو ياسر. وما عليك زود يالخال.	Other
لا عااد الا السالفه ذي ماتاصل كذا ياوحوش	Other
"لما يصير لك موقف يخليك مستانس طول اليوم .\""	Other
راحتي أشوفها بين عُيونك بوسط ضحكتك بِعز عافيتك أنا راحتي مرتبطه فيكَ.	Other
".. كنت بـ عيوني تساوي كل غالي و كان يكفيني من الدنيا .. وصالك ابتعدت و جاي تسأل كيف حالي؟ ما تبدّد شرهتي بك ‘كيف حالك؟ \""	Other
دواااااام و الدوااام لله ( USER كافيه | Barn Caffe) URL	Hijazi
المنحوتات الأفريقية كذا	Hijazi
ركزووووووو في التخصص من جد لازم يكون عشواااائي URL	Hijazi
بيطق فيني عرق اذا استمرينا كذا لا اله الا الله .	Other
لازم نفوق و الا هنشيل زلط في الماتش ده	Other
احلى خبر جاني في ٢٠١٩	Hijazi
انا تعبانه عشان بشرتي تعبانه	Other
اي الفروع في ابها بكره مابشتري الا منكم	Other
مو بس شعري يتساقط،لا حتى رموشي صارت تتساقط.	Other
بالله كيف الدوري الالماني يصنف من الخمسة الافضل URL …	Hijazi
اعشقك واللي خلقني . URL	Other
ابوي الله يطول ف عمرك URL	Other
يعني مب حالة لي كل يوم اصحي هالحزه جوعان ):	Other
USER شد حيلك وخلينا نشوف شغلك وانتاجيتك بالعمل والارتقاء بصحه المريض متفائل فيك	Other
هالعمر يبغى العاب تشغله .. اشتري لها كم لعبه وطلعي لها كل اسبوع لعبه عشان تنبسط. وانتي كل ماجيتي تهاوشينها تذكري انه بيأثر على شخصيتها ١٠٠ بالميه وبعضهم يسبب لهم تاخر بالكلام ف انتبهي انتي مُحاسبه بس هي طفله ماتعي شي	Other
ي كرهك نغيله صدق	Other
السلام عليكم انا اختباري قدرات ١١ رمضان ابا تجميع محوسب كويس.	Other
مشتـاق وأخاف لو عبّرت عن شوقي - تشوف نفـسك عـليْ وما تعـبّرنـي . #متعب	Hijazi
USER ماعرفتك يالاطخم طالع اطخم ولك	Other
شكرا اسامه حبيبنا يا أس..	Other
متجهزه للخساره اشوف وين ثقة الزعماء بطلي خلاص مايصلح	Hijazi
طيب والحاجات الزادت دي البرجعها شنو؟	Other
مرت ١٣ دقيقه م صارت كتابه	Other
لك أنا ، لك عيوُني والعمر.	Other
مستحيل توصل الصواريخ المذكورة لـ هالمسافة	Other
USER عندي لك سوال ال مره من يرجعوله في يام ومن اقرب فخذ لهم يالعريف اذا انت مري	Other
ليه غايب والسوالف تحتريّك .. قهوتي والشُوق واشعاري وانا #نجران_الان URL	Other
قلت ما مثلك على الدنيا وصيف لا حشى مالك وصوف ! #محمد_عبده	Other
لو تكرمت اخوي هل هو بيفتح في الوقت الراهن ؟	Other
دعم #الداعم كان خفي؟ من كثر ماهو خفي ماهو موجود اساساً ! كحيلان ووالده هم الداعم الاول للنصر #الكاش_انحاش #فيصل_بن_تركي #فهد_المطوع #النصر	Other
السلام هذا السحب لمسابقه العوده للمدارس او المسابقه حقت نهاية اكتوبر	Other
يرزقنا الله بناكل فصفص	Other
احب انك تعرف كل الأشياء اللي ماترضيني ومستمر فيها	Other
انا: ببدا اذاكر مخي: نبي ليتات ف حديقة صباح السالم ترا انا راسي بينفجر بكرا العرس بكرا العرس مهبل تتهاوشون على الرزق الرزق يجي من الله كلن نصيبه على الله	Other
طرطشلي خليك مؤدب مع ابناء البلد عشان ما يتم تسفيرك	Hijazi
حنا اتفقنا في كل شي الا الزمن عيى الزمن لا نتفق.	Other
والله جد طرشة	Other
وتبوك يا معالي المستشار مالها اي نصيب من الحفلات!! ؟؟؟؟	Other
انا طول عمري مخي مو مضبوط بس عاد حتى هارو ؟ ياجماعه فجأه صار يقول عوو انا مربيه قطو ولا كلب	Other
ليش اذا استحيت اسوي اشياء غبيه	Other
USER USER ليه حظرني ماعمري سويت له منشن !!!	Hijazi
#النصر_الهلال يارب يجي حارس الهلال صداع ويعطينا هدية	Other
بتتّعوض كُل حاجه، والعُوض من ربـِي حُلو.	Other
الله يسعدك .. فديتك	Other
منجد والله. ومتأكد ان فك الارتباط حيكون خير لنا ولهم	Hijazi
الوصفة عبارة عن بهارات وشوية إندومي	Hijazi
بيض الله وجهك يا تركي وكثر الله من أمثالك على ردك على سماسرة وبياعي الأرض الفلسطينية .. URL	Other
كل سنه وانت طيب ايزي	Other
كاني اشوفك تترجي يفتحون لكم سلوى ياحميده لكن سلوى ماكو	Other
لا تتأسف كنت ماضي والحين نسيتك	Other
USER خخخخ جايزتلك الفنتووو واااجد	Other
نعمممم كيف كدا من فين أتنيلتي ونسختيها	Hijazi
شكله هي الي توجه ازواجها ماهي معقولة كلهم مجرمين وهي تتفرج ..!	Other
تجحفلنا و اجلوه بكره	Other
صح لسانك والله يابو محمد عز الله إنك ابدعت وامتعت يالجزل USER	Other
مساء الفل يا برنس	Other
ان كان صدر اللي احبه وسعني ما همني ضيق الزمن واتساعه :	Other
صح مايلعب زين	Other
تسلم يمينك على هاللقطه الجميلة	Other
اييه بريك ما تدري وش تسوي فيه .. فراغ غريب	Other
يسلم راسك الكل فاهم عليك و نعرف نوعية جمهور النصر بكائيات ف كل مكان	Other
اتوقع لصيده تصيبها نفسيه من كثرهم	Hijazi
#مواليد_اغسطس كل اللي بالهاشتاق مزايين الا انا اشهب الهب ليه ؟ قدروا اننا عيال شهر واحد	Other
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه الله يبعدنا عن فتن الدنيا	Other
شكله مطول دائما الاهلي يتاخر.	Other
الحجاب شي شخصي مالكم اي دخل فيه. #نصائح_لرجال_الهيئة	Hijazi
كنت منتظر دا الموسم يبدأ بسرعة لكن ياليتني م انتظرت #ليفربول_بيرنلي	Hijazi
برا يابن الكلب!!!	Other
شايلين لينا قروش ورق ساي	Other
لمن يأذن فجر وباقي لي نص المنهج URL …	Hijazi
USER السلام عليكم ورحمة الله وبركاته.. اليوم نزلت مقطع عن فيفا١٤ طبعآ URL لايك+اشتراك+مفضلة #رتويت	Other
"بنت خالتي -٥ سنوات- تقول لأهلها \"أنا ايش سويت ذنب في حياتي عشان تسيرون إنتو عائلتي؟\""	Hijazi
USER إذا مهتم تشوف ؟ مصور فيديوات كتير	Other
كيف يكون تشهير اذا اسم الطالب مو ظاهر	Hijazi
﮼غير،قربك،مـا،اضن،عندي،امانَني،ثانيه . URL	Other
لمن انسا نضارتي في البيت بالله كيف عيوني حتتحمل الشمس	Hijazi
لاحووول وش فيهم العالم سرقة وخطف الله لايسلط علينا	Hijazi
#المعجبيه_تنخى_اهلها تكفون يالمعجبه تكفون ياعيال العون لاتخلونها منكم وفيكم تنخاكم لوجه الله	Other
لو خلوني مذيع معها صار ثنائي جميل للغايه يارب يعطون سداح فرصة عندي مواهب الحمدلله ما تجيب العيد من وراها التزكية انتضرها من الدكتورة ناديةالتميمي ما أخلى من توصياتك USER	Other
ارقد تطمن تراك بدنيتي ( غالي ) خل الهواجيس عنك واعتمد بالله	Other
اشتقت اكتر والله .	Hijazi
نفسي ارتوت هنا بس اخاف ابلع تبن URL …	Other
مريض الضغط لو قولتله امنع الملح هيعمل كده؟!هرمون برضوا و لا اراده ؟؟	Other
لاه لاه الا خطوة جنوبية لاااا ، اهل الجنوب انا اقدم لكم اسفي واعتذاري	Hijazi
الله يسعد اوقاتك أنا وانت عارفين من وضع التاق هم سمعوا ان اللاعب أوعز لناديه بالإعتذار؟؟	Other
الي عندهم حسابات مفسرين احلام يعطوني حساباتهم وشكراً	Other
الصورة هي كل مابشوفها بحس حالي نعست URL …	Hijazi
حسبنا الله عليك يامعضل كان ماتشوف حل للسباك الي يا العب بطاني يا اخرب عليكم غيروه ماهو لازم سييرا	Hijazi
USER هاي اخوي ممكن خاص	Other
يقهرني الي يكتب عن الكذب وهو يكذب ..	Hijazi
اعطيك ليش ما اعطيك تعالي وابشري	Other
بدري الكلام عن الصدارة يا ناس	Hijazi
شوي شوي على فواز ترا كذا كثيييييير	Other
والله حلو مدري فيكم	Other
هههههههه اشبك عصبت ياخي انا رشيق بس انت عيونك عيون جمل تشوف الحاجات كبيره	Other
وربي انك خاينه صدق	Other
جوال سماعه عصير بطاطس	Hijazi
#NAME?	Other
اليوم أول يوم دوام ف المركز ، يا رب يوم خفيف لطيف نصنع فيه الذكرى الحلوة .	Other
USER احرميهم منك العشا الجاي شوفي الموضوع الجاي على مين بيكون من باب العداله لكل،صدقيني بيفقدونك	Other
تسلم الله يعطيك الله العافية	Hijazi
USER يقصدون المريسل مسوي وطني	Other
؟؟؟ من جدك بالله	Other
الحمدالله على سلامتك و ما تشوف شر USER	Other
التمر الكل بالكل ياست نور	Other
يصير تبكين بحضني ؟	Other
شدي حيلك وجمعي حقه.	Other
من بينهم كلهم ترا فرحتِي معك	Other
يارب انك تشفي كل واحد بعقله جزمات .	Other
اكثر شخص كان يستاهل يكون موجود بهالبطولة لكن هذا اللي خذيناه من المنتخب للاسف	Hijazi
عسآني فدآ مآطآ تعبهآ وَ هي ترتآح ، جعلني مآ ذوق آفرآق ذآ الصوت وَ النبره .	Other
ياللـه لمإ تلاقي شخص يشبهك بحكيك بتفكيرك وحتى الاشياء اللي تحبها تحس ودك تدخله جواتـك وتقوله انإ وياك “ادمي واحـد“. *	Hijazi
مفارش نفرين ٦ قطع حشوه وسط من بره فرو ناعم ومن الداخل مخمل لحاف ٢٢٠*٢٤٠ شرشف مغاط ٢٠٠*٢٠٠ 2 كيس مخده ٥٠*٧٥ 2 كيس خداديه ٤٥*٤٥ السعر 240ريال W012_ماى_تارقت# URL	Other
يا رب نمشي خفيفين ظّل ، راضين مُرضين ، ما لأحد عندنا حاجه ولا منا في قلب أحد أذى.	Other
يانفس لامتي :على مزارق الطيب وش عااد متي صه : ثم إسمعيني إن كان لي جبتي حصيل ومكاسيب ابي نتايج طاعتي لك / عطيني؟ #سعد	Other
الاماكن اللي مريت انت فيها عايشه بروحي وأبيها .	Other
اذا جاتك افعى بتأكلينها وتمسحين على راسها ؟	Hijazi
صارلهم سنتين حاذفينه وينك فيه انت	Other
هذا يدل انه الشركه الي انتي فيها الحين . م عندهم عقابات صارمه اتجاه الموظف . او حتى م عندهم احترام للعميل و هالشىء يضر ب الشركه كثير .	Hijazi
محامي جيد .. ودوني المحكمة حاالا URL … URL	Other
مو الله يبارك فيك	Other
USER . بالعافية عليك بوفاهد	Hijazi
ياربي لك الحمد اجل ، كله خرطي اجل	Other
هههههههههههههههههههههههههههههه من جد يتوب علينا ربنا	Other
شيلو معاه ملاذ بشيل 24	Other
USER الله يباركك فيكك	Other
لمن السيزون 3 كان مرة خطير والان سار زي الزفت ماشاءالله وكلو مطمطة URL …	Hijazi
عطوني علاجي لو انه عنزروت ماهوب مرّ ! المرّ جربت طعمـه ثنتين .. ورنّي مماتي قبل اموت يوم الفراق ، وحاجةً عنـد رخمه !”	Other
أنا ماعندي معجب سري عندي نفاق سري عاهات سرية خبث سري.	Other
اصير مدير اعمالك	Other
بببببطططني يعورني والسسب اتوقع اني جوعانه واكلت شبسات وهذا اكبر غلط  	Other
ارضي يا زوري	Other
يا ماخذ الحب قل فيني و سمعني،، حب على كبر صعب أبدل بغيره!! #حسين_عبدالغني #النصر URL	Other
#NAME?	Other
يجيك يقولك الحين ( الاولويه صعبه قويه ) URL …	Other
USER USER قلتلي في اي مجموعة في اسيا ؟	Hijazi
USER لاتمسحينها خل نجلدهم	Other
خليك في عِشك ماحد يِنشك	Hijazi
شباب يتحدون واحد يحط السكين في مكينة تسخين التوست وهي مشبوكه بالكهرباء ̷ ! ا URL	Other
اتمنى اني اواسي صديقي لاكن انا جد ما اعرف	Hijazi
تذكرون الحلق الجميل شفت كثير يسألون من وين وبعد البحث حصلت لكم موقعهم الرسمي ويشحن مباشر .. URL	Other
ييييالللليلللل حنا وهالنننشببببه	Other
بعد منتصف الليل وخذلك فصفص مصري عشان السهره تحلى ودبه ماء صحه صغير للبردقان	Other
اللي بالصف الاول اخر واحد يمين	Other
USER نجحت وااه يابختك انا حاولت مانفع	Other
روووووح الواحه يسحب ٤٦.٨٥	Other
الله كريم سبحانه هذا احنا ندور والامل بالله على فكره انا كنت موظفه قبل شهرين راتبي٧ونص وطلعتني بعذر((انا عرفت ع كل شي بسرعه))	Other
تابعن اتابعك تلغي الغي سالفة انا الهامور يتابعوني ولا اتابع مي بعند... - عزالله انك صادتز URL	Other
ههههههههههههههههههههههههههه وراه انصدم اخر شيء	Other
الله يجزاك خير هذا يدل على معدنك ذهب. ماهو نحاس الي مابه خير وش يبغى فيه.	Other
تلقى بني عمي اكعام للحريب = لارزت الرايات والنشر الخضر خوالد ترد المعارك ماتهيب = وردوا حياض الموت يوم الله ومر”	Other
استغفرالله العظيم مع وقت الصلاة جاني النوم انيهوووووو الشيطان	Hijazi
مخالفه مروريه !! خله وش دخلك فيه ياخي سكتوا دهرا ونطقوا كفرا هههههه URL	Other
ونجمه تضوي بسمتك لو هي بعيد .	Other
بلحظة كل شي ممكن يصير صحيح للأسف'	Other
USER عشان نكون واقعيين , مباراة النصر مع الإتحاد وتخبصات دونيس هي من جعلتنا أن لا نتفائل ,, الله يوفق زعيمنا الليلة	Other
كمية مرض و تخلف الى ايييننن؟؟	Other
يسوي زي الخواجات	Hijazi
هذا جنس ثالث الدون دايم مغتصبهم	Other
وححححححش وربي وحششش USER	Other
USER حكمه الله صعب فهمها .. تشوف الظالم يعيش ويفرح في دنياه .. لكن في لحظه يتلاشى بعظمه الخالق	Hijazi
والله سواليفكً كلها اللغاز	Other
الصبح عندي مرتبط مع كيونغ سو ، خلوا عنكم فيروز	Other
ماهو بكيفك تواصلني وتقطعني أما غلا بينن أو فضـها سيـــره	Other
لمن اتضايق بمكان عام والكل يستغرب بهاللحظه ينسون انك بشر ولك مشاعر والمطلوب انك تجامل بهلشي ويجي احد يطبطب عليك ويقولك لاتبين كيف ماابين وكل شي واضح بوجهي ونبره صوتي	Other
افضل تكتيك دفاعي ممكن تشوفه تكتيك ايرلندا الشماليه ضد هولندا الشوط الاول	Other
بعرس كل سنه باربع انتي الاوله	Other
ايه ومنهم انا مو يقل احذفه مره وحده URL …	Other
"انا .. وياك ما يكفيني حب الأرض احسّ اني بـ احبك حتى \" بالجنّه \" ؛)"	Other
رايح بيشه قاف مجنون SoSo URL	Other
هلا هلا هلللا URL …	Other
#تويتر الجوء يقول فيه مطر ان شاء الله #جبال_فيفاء_الآن URL	Other
USER لا مهي صعبة بس مشكلة	Other
اذا لقيت حل علمني نفس حالتك انا	Other
بدر يقول كيسه مرامي وتخب عليك اهم شي احد معبرني	Other
هو شي متوقع بس اعجبتني الحركة	Other
أحسن الله عزاك يابونواف ويعلم الله اني بعيد عن تويتر ولا دريت الا اللحين وب اذن الله بتصل فيك ان شاء الله اخر الاحزان	Other
عمري مابالغت بمشاعري أنا فعلاً أحبك.	Other
اتأمل صُورته واقول؟ وخَالق هالعُيون مَ ينمحِي حُبه أبد.	Other
"جوات البي ، حكي مابينحكي.. مو مشان شي\" بس كرمال ماوجع حدا معي `~"	Hijazi
USER أشوى إنها كانت تقصد السماعات	Other
وفرها بجيبك وين وجهك وجهك قابل لتامل اكثر من الغيوم URL …	Other
ولو أخفيت شوقي عنك ، يفز القلب لك من دون طوعي	Other
#مستمرين_ومقاطعين_المراعي انا معكم في المقاطعه من اول يوم وان شاء الله مستمرين الي مالا نهايه والصافي ايش زينه .	Other
خزعبلات الحين اترك التعصب على جنب وناظر بفريق التعاون وبفريق الاتحاد تحس الاتحاد ضعيف جدا مستحيل يفوز واتوقعها تاريخية قدام الملك وجهت نظر فنية	Hijazi
#كيف_تعرف_انك_دلخ لما اشوف ٣ خيارات كيك في وجهي	Other
كنتي في جهدش ثم خربتيها بالتعليق التالي ذيا	Other
USER USER فنقر نافس فرقسون واخذ منه دواري وبطولات .. ناديك غير 99 مدرب وعجز ينافسه	Other
لاتحتكي بحبيبي لا تحتككككي لو سمحتي ميو	Hijazi
USER ع ذوقك الجميل (:	Other
اول م شفتها حسبتها بسكوت اوريو	Hijazi
USER يسعد مساك ممكن اعرف اخر اصدار يمكن يركب عليه الجلبريك	Other
انا كل شي أبي اسويه بكره ، بس ما أدري أي بكره	Other
اي بس عادي تقدر انك ما تلعبهم جميع	Other
ذي اخسسسس نومه في حياتي كلها أساس مستحيل تكون نومه أنا انام شوي فجاءه اقوم ماسوي اَي شي لي الحين نص ساعه قايمه ماسويت اَي شي بس جالس كذا ):	Other
وبعدين مع الناس الي تبا تمشي الناس على مزاجها	Hijazi
لصار ما ودك وخاطرك طايب أنا ترى لي خاطرٍ منك ما يطيب حتى ولو إنك عن العين غايب متسيدٍ لاشك خلف الـمحاديب	Other
حي نباك ونباه ياسالم	Other
عمومًا كلمه -يلا ما عليه - هي اكثر شيء تخليني اغير فكرتي للشيء و ارجع شخص طبيعيه و يصير الشيء أساسًا مو هامني بكل سهوله ..	Other
يوم إن جدك وتق القفل بالدار= بيت الشعر مفتوح صبح وعشية. للضيف ريف للمعادين جبار = نرد العياض ولانهاب المنية. #ايه ي بعد حيي وميتي	Other
لاعب السيلتا واس والله ي هو لعيب لكن مامعه احد	Other
عز الله عدمتي مستقبله	Hijazi
USER علموني من الفنانة العالمية لا تخلوني لاني مقيد ولا مفكوك بيني وبينكم ماحد بداري	Other
صح لسانش هو صادق	Other
تعال وحط ايدك على قلب مغليك وتسمع لنبضات قلبن يحبك . في ذمتي انه من اقصاه هاويك وانه يعيش اجمل غرام بقربك... #الرايد_النصر URL	Other
الي شراء حلواني 74 يبع الان 75	Other
اخ يالضحك هههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههه URL … URL	Other
زححححمة و فيه اماكن مخصصه للاحتفال ما قالو احتفلو فالشارع	Other
عن نفسي انام 12 واصحى 5 ونص اودي اخواني دواماتهم وارجع اشوفها 6	Other
عرق الارمي القوي فيني شوي ويطق	Other
احبببك دايماً تقولي الي ابغا اقوله	Other
ولما يعود من المشوار ، كوني الزِينة ع بوابو .	Other
انا م عندي لهجه محدده ؟ اي كلمه تعجبني اخذها .	Other
USER خلإص إوك بس إذا رحت ورئ الشمس حاولي انك تجيبيني **	Other
اقول اتركِ عنهم وداومي	Other
USER شفتي شلون . إكشخ إكشخ	Other
يارب زين وثلج وسلاح جديد URL …	Other
ربي يخليها ويزيدها من فضله	Other
هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه واضح يحبها الزواج قريب	Other
